actually,実際に,,
again,また,,
already,既に,,
alright,大丈夫,,
also,また,,
always,いつも,,
and,そして,,
angry,怒る,,
animal,動物,,
another,別の,,
anything,何か,,
are,〜は(複数),,
at,で,,
bad,悪い,,
badly,ひどく,,
because,ので,,
beginner,初心者,,
beside,のそばに,,
best,最善,,ベスト
better,よりよい,,
big,大きい,,
bird,鳥,,
black,黒,ブラック,
blue,青，ブルー,,
book,本,,
both,両方,,
brown,茶色，ブラウン,,
but,しかし,でも,
carefully,注意深く,,
cat,猫,,
certainly,確かに,,
chance,機会，チャンス,,
clean,掃除する,,
common,共通の,,
complete,完成する，完了する,,
correct,正しい,,
could,「できる」の過去形,,
cow,牛,,
custom,慣習,,
dangerous,危ない，危険な,,
definitely,確かに,,
did,した,,
different,違う,,
difficult,難しい,,
dirty,汚い,,
disturb,邪魔する,妨害する,
done,「する」の過去完了形,,
door,ドア,,
dream,夢,,
duck,あひる,,
easy,簡単な,易しい,
electric,電動の,,
electricity,電気,,
embarrassed,恥をかく,,
empty,空っぽな,,
enough,充分,,
every,毎,,
everything,全て何でも,,
example,例えば,,
excellent,非常に優れた,卓越した,
excuse,言い訳,口実,
extremely,非常に,,
fact,事実,,
fat,太った,,
flag,旗,,
flat,平らな,,
for,?のために,,
found,find見つけるの過去形,,
from,?から,,
funny,おかしい,おもしろい,
future,未来,将来,
garbage,ごみ,,
goat,山羊,,
good,良い,,
grass,草,,
green,緑,グリーン,
happy,幸せな,,
has,持っている,,
heavy,重い,,
her's,彼女の,,
herself,彼女自身,,
high,高い,,
himself,彼自身,,
his,彼の,,
history,歴史,,
hole,穴,ホール,
holiday,休日,祝日,
hope,望む,,
horse,馬,,
I,私,僕,
idea,考え,案,
if,もし,,
important,大切な,重要な,
impossible,不可能,,
impressive,印象的,,
inch,インチ,,
is,〜は(単数),,
it,それ,,
joke,冗談,,
king,王様,,
lamp,ランプ,,
law,法律,,
lay,横たえる,,
lazy,怠け者,,
life,生活,人生,
light,光,,
light,軽い,,
little,リットル,,
little,小さい,少ない,
long,長い,,
low,低い,,
luck,運,,
male,雄,男性,
match,合わせる,,
matter,事柄,問題,
maybe,たぶん,おそらく,
me,私,,
metal,金属,,
might,〜かもしれない,,
mine,私のもの,,
more,もっと,,
most,ほとんど,大半,
much,たくさん,多くの,
must,?ねばならない,,
my,私の,,
necessary,必要な,,
never,決して?ない,,
new,新しい,,
newspaper,新聞,,
nice,優しい,,
no,いいえ,,
noisy,騒がしい，うるさい,,
normal,正常な,,
not,ない,〜でない,
note,メモ,,
notebook,ノート,,
nothing,何も,,
odor,悪臭,,
of,〜の,,
oil,油,,
ok,よろしい,はい,
old,古い,年老いた,
only,唯一の,,
ordinary,普通の,,
original,最初の,,
other,もう一方の,他の,
our,私たちの,,
ours,私たちのもの,,
ourselves,我々自身,,
paper,紙,,
part,部分,,
pattern,模範,原型,
pencil,鉛筆,,
perhaps,おそらく,ひょっとしたら,
person,人,人間,
photograph,写真,,
place,場所,,
plant,植物,,
pleasant,楽しませる,,
possible,可能な,,
possibly,たぶん,ひょっとすると,
pretty,きれいな,,
probably,たぶん,,
quick,早い,,
quickly,早く,,
quiet,静かな,,
really,実際は,本当は,
red,赤い,,
rock,岩,,
rope,縄,ロープ,
round,丸い,,
rule,規則,ルール,
sad,悲しい,,
same,同じ,,
score,得点,,
sentence,文,,
she,彼女は（が）〜,,
short,短い,,
shoulder,肩,,
simple,単純な,分かりやすい,
sir,サー,,
skirt,スカート,,
slow,遅い,,
slower,〜より遅い,,
slowly,遅く,ゆっくりと,
small,小さい,,
smart,利口な,賢い,
some,いくらかの,多少の,
someone,だれか,ある人,
something,ある物,なにか,
sorry,かわいそうで,気の毒で,
so-so,まずまず,まあまあ,
strong,強い,,
student,学生,生徒,
stupid,馬鹿な,,
tail,尾,しっぽ,
tall,背の高い,,
tape,平ひも,テープ,
test,テスト,,
than,〜より,〜に比べて,
that,あの,その,
their,彼らの,彼女らの,
theirs,彼らのもの,彼女らのもの,
them,彼ら,彼女ら,
themselves,彼ら自身,彼女ら自身,
then,その時,そのころ,
these,これらの,,
they,彼らは,彼女らは,
thick,厚い,,
thin,薄い,,
this,この,ここの,
those,それらの,あれらの,
thought,考えること,考え,
tiny,ごく小さい,,
told,教えた,言われた,
toy,おもちゃ,,
trash,くず,がらくた,
tree,木,,
triangle,三角形,,
TRUE,真実の,本当の,
truth,真実,事実,
ugly,醜い,,
us,私たち,,
useful,有用な,役に立つ,
very,非常に,たいへん,
voice,声,,
vowel,母音,,
wall,壁,,
war,戦争,,
we,私たちは,,
weak,弱い,,
well,よく,申し分なく,
wheel,車輪,輪,
white,白い,,
whose,誰の,,
wide,(幅が)広い,,
window,窓,,
with,〜といっしょに,〜を相手に,
without,〜なしに,,
woman,女,女性,
worse,〜より悪い,劣った,
worst,最も悪い,,
worst,最も悪く,,
wrong,悪い,間違っている,
yellow,黄色の,,
yes,はい,,
yet,まだ,,
you,あなた,,
young,若い,,
your,あなたの,,
yours,あなたのもの,,
yourself,あなた自身,,
yourselves,あなたたち自身の,,
our,私たち,なし
うんこ,くさい,くさいものです
easy,簡単,なし
あいうえお,かきくけこ,なし
じょーじ,うざい,なし
えいじ,eiji,なし
うんこ,かきくけこ,p@dfpgr
peace,平和,なし
python,ぱいつぉん,なし
ぷりん,あまい,なし
himeno,tensai,なし
himeno,天才,なし
hew,hal event week,なし
hew,動画,なし
